,k,m,silhouette,davies_bouldin,adjusted_rand_score,homogeneity,completeness,v_measure
fuzzy_k2_m1.5,2.0,1.5,0.19210620430462683,1.948986459014179,0.03198224559342981,0.028892289790177876,0.04446955970987383,0.03502712689865835
fuzzy_k3_m1.5,3.0,1.5,0.06834770248122601,1.9867469447525832,0.044988257347512245,0.03370543670330278,0.03458662660939142,0.034140346547324715
fuzzy_k4_m1.5,4.0,1.5,-0.007785786851819901,2.2971500890634187,0.03311337230831704,0.03385554977968558,0.04006283143658416,0.03669856297442535
fuzzy_k5_m1.5,5.0,1.5,0.11269444381481718,3.3295049051294043,0.030261444121393585,0.03557429378606762,0.04313952530001507,0.03899336011471903
fuzzy_k6_m1.5,6.0,1.5,-0.03361861883883399,2.633360696167309,0.03772884562092809,0.0461416025505941,0.041055489557498624,0.04345021229225951
fuzzy_k7_m1.5,7.0,1.5,0.03450697658331192,2.101154646352255,0.04008190287091074,0.043115500345878854,0.03471223788169085,0.03846020810775926
fuzzy_k8_m1.5,8.0,1.5,0.05781232132751775,1.9498020123151925,0.022959807192579368,0.04450875188903777,0.038157136429906556,0.041088931666767664
fuzzy_k9_m1.5,9.0,1.5,0.03257448997513895,2.192341857202284,0.04114996074607123,0.04077585300850144,0.03194976289503821,0.03582723416718822
fuzzy_k2_m2.0,2.0,2.0,0.19086602811710582,1.948602552563603,0.04113936434508002,0.03791419409504508,0.05841888172108737,0.04598430604699675
fuzzy_k3_m2.0,3.0,2.0,0.12397163618472293,1.7524227271402484,0.032201491121535114,0.03520768061387806,0.04646195508826203,0.040059384650861396
fuzzy_k4_m2.0,4.0,2.0,0.17358369339157925,1.6559512539557115,0.033004558862356696,0.0426894675695109,0.04797312417010709,0.04517733475675587
fuzzy_k5_m2.0,5.0,2.0,-0.005156211548289954,2.55727661344231,0.026467984572570186,0.03930027251545992,0.033589922624648626,0.03622141799413319
fuzzy_k6_m2.0,6.0,2.0,-0.0639906457086571,3.004202435787588,0.038938432396682064,0.03964002655465026,0.0371095754953472,0.038333086264319215
fuzzy_k7_m2.0,7.0,2.0,0.12981474353722916,1.8996057526632704,0.017177198258232263,0.042847438556976106,0.04014515062075976,0.04145230053974518
fuzzy_k8_m2.0,8.0,2.0,-0.1043261057533789,3.856285618033697,0.04294693410181068,0.04007477069084857,0.03509665560977467,0.03742087904392319
fuzzy_k9_m2.0,9.0,2.0,-0.09346622646376046,3.606520029327887,0.04135560659746271,0.040848685870052984,0.042203272066035,0.04151493224616082
fuzzy_k2_m2.5,2.0,2.5,0.18581438020446628,2.0199119065934212,0.03875720164602999,0.03841513824549291,0.059331663803193026,0.046635470819792586
fuzzy_k3_m2.5,3.0,2.5,-0.06750203634813684,2.1055175614613666,0.03596924820469198,0.03544210963447005,0.04960322495853991,0.041343665601813025
fuzzy_k4_m2.5,4.0,2.5,0.0960383509592612,2.246255950394096,0.0295954983458391,0.033941340767420725,0.04568053085820486,0.03894554178744042
fuzzy_k5_m2.5,5.0,2.5,-0.029941243340196343,2.0548069228469146,0.03680210633495151,0.036406696154744685,0.03648574843915139,0.0364461794306146
fuzzy_k6_m2.5,6.0,2.5,-0.09103458764983524,3.468248079643599,0.03291281483043972,0.040131251753922965,0.04332726507891442,0.04166806333674826
fuzzy_k7_m2.5,7.0,2.5,-0.13576389902165079,3.22170164698393,0.03196732859601455,0.036561987435025,0.0467178710179878,0.0410206800270803
fuzzy_k8_m2.5,8.0,2.5,-0.08557228795346153,1.9224680956549403,0.030815780125846032,0.0370889518738215,0.04160130652385028,0.039215752673061016
fuzzy_k9_m2.5,9.0,2.5,-0.1762831524662102,3.743280204471185,0.03269627018978773,0.040541972514435004,0.04339118769369614,0.04191822003328067
