,k,distance,seed,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure,sum_of_squared_error
L1_seed20,12,L1,20,0.2423352171390857,1.4873696558249356,0.009187523685283671,"(np.float64(0.04842250664806629), np.float64(0.02271739666350827), np.float64(0.030925914704933576))",31.435529157216376
L1_seed25,12,L1,25,0.2423352171390857,1.4873696558249356,0.009187523685283671,"(np.float64(0.04842250664806629), np.float64(0.022717396663508267), np.float64(0.03092591470493357))",31.435529157216376
L1_seed30,12,L1,30,0.2423352171390857,1.4873696558249356,0.009187523685283671,"(np.float64(0.0484225066480663), np.float64(0.02271739666350827), np.float64(0.030925914704933572))",31.43552915721637
L1_seed35,12,L1,35,0.2423352171390857,1.4873696558249356,0.009187523685283671,"(np.float64(0.0484225066480663), np.float64(0.02271739666350827), np.float64(0.030925914704933572))",31.43552915721637
L1_seed40,12,L1,40,0.2423352171390857,1.4873696558249356,0.009187523685283671,"(np.float64(0.04842250664806629), np.float64(0.022717396663508267), np.float64(0.03092591470493357))",31.43552915721637
L1_seed45,12,L1,45,0.2423352171390857,1.4873696558249359,0.009187523685283671,"(np.float64(0.0484225066480663), np.float64(0.02271739666350827), np.float64(0.030925914704933572))",31.435529157216376
L1_seed50,12,L1,50,0.2423352171390857,1.4873696558249359,0.009187523685283671,"(np.float64(0.0484225066480663), np.float64(0.02271739666350827), np.float64(0.030925914704933572))",31.435529157216376
L1_seed55,12,L1,55,0.2423352171390857,1.4873696558249356,0.009187523685283671,"(np.float64(0.048422506648066306), np.float64(0.022717396663508273), np.float64(0.030925914704933583))",31.435529157216376
L1_seed60,12,L1,60,0.2423352171390857,1.4873696558249356,0.009187523685283671,"(np.float64(0.0484225066480663), np.float64(0.02271739666350827), np.float64(0.030925914704933572))",31.43552915721637
L1_seed65,12,L1,65,0.2423352171390857,1.4873696558249359,0.009187523685283671,"(np.float64(0.0484225066480663), np.float64(0.02271739666350827), np.float64(0.030925914704933572))",31.435529157216376
L2_seed20,12,L2,20,0.2597750703443439,1.4082238149138593,0.01146130137150989,"(np.float64(0.04851978796315318), np.float64(0.022472213118898885), np.float64(0.030717461093441995))",30.095685948460368
L2_seed25,12,L2,25,0.2597750703443439,1.4082238149138593,0.01146130137150989,"(np.float64(0.04851978796315318), np.float64(0.022472213118898892), np.float64(0.030717461093441995))",30.09568594846036
L2_seed30,12,L2,30,0.2597750703443439,1.4082238149138593,0.01146130137150989,"(np.float64(0.04851978796315318), np.float64(0.022472213118898885), np.float64(0.030717461093441995))",30.095685948460368
L2_seed35,12,L2,35,0.2597750703443439,1.4082238149138588,0.01146130137150989,"(np.float64(0.04851978796315318), np.float64(0.022472213118898885), np.float64(0.030717461093441995))",30.09568594846036
L2_seed40,12,L2,40,0.2597750703443439,1.4082238149138593,0.01146130137150989,"(np.float64(0.04851978796315317), np.float64(0.022472213118898885), np.float64(0.030717461093441988))",30.095685948460368
L2_seed45,12,L2,45,0.2597750703443439,1.4082238149138593,0.01146130137150989,"(np.float64(0.04851978796315318), np.float64(0.022472213118898885), np.float64(0.030717461093441995))",30.09568594846036
L2_seed50,12,L2,50,0.2597750703443439,1.4082238149138593,0.01146130137150989,"(np.float64(0.04851978796315318), np.float64(0.022472213118898892), np.float64(0.030717461093441995))",30.095685948460368
L2_seed55,12,L2,55,0.2597750703443439,1.4082238149138593,0.01146130137150989,"(np.float64(0.04851978796315318), np.float64(0.022472213118898892), np.float64(0.030717461093441995))",30.095685948460368
L2_seed60,12,L2,60,0.2597750703443439,1.4082238149138593,0.01146130137150989,"(np.float64(0.04851978796315318), np.float64(0.022472213118898892), np.float64(0.030717461093441995))",30.09568594846037
L2_seed65,12,L2,65,0.2597750703443439,1.4082238149138593,0.01146130137150989,"(np.float64(0.04851978796315318), np.float64(0.022472213118898892), np.float64(0.030717461093441995))",30.09568594846036
cosine_seed20,13,cosine,20,0.23633960320436362,1.447562434085537,0.012127910130685903,"(np.float64(0.055644498890945), np.float64(0.024025423625110523), np.float64(0.033560536173297524))",26.977606234293035
cosine_seed25,13,cosine,25,0.23633960320436362,1.447562434085537,0.012127910130685903,"(np.float64(0.05564449889094498), np.float64(0.024025423625110513), np.float64(0.03356053617329751))",26.977606234293035
cosine_seed30,13,cosine,30,0.23633960320436362,1.447562434085537,0.012127910130685903,"(np.float64(0.05564449889094499), np.float64(0.024025423625110523), np.float64(0.03356053617329753))",26.977606234293035
cosine_seed35,13,cosine,35,0.23633960320436362,1.447562434085537,0.012127910130685903,"(np.float64(0.05564449889094498), np.float64(0.02402542362511052), np.float64(0.033560536173297524))",26.977606234293035
cosine_seed40,13,cosine,40,0.23633960320436362,1.447562434085537,0.012127910130685903,"(np.float64(0.05564449889094498), np.float64(0.02402542362511052), np.float64(0.033560536173297524))",26.977606234293038
cosine_seed45,13,cosine,45,0.23633960320436362,1.447562434085537,0.012127910130685903,"(np.float64(0.05564449889094499), np.float64(0.024025423625110523), np.float64(0.03356053617329753))",26.977606234293035
cosine_seed50,13,cosine,50,0.23633960320436362,1.4475624340855373,0.012127910130685903,"(np.float64(0.055644498890945), np.float64(0.02402542362511053), np.float64(0.03356053617329753))",26.977606234293035
