,k,distance,seed,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure,sum_of_squared_error
k2_L1_seed20,2,L1,20,0.2670531904227982,1.4259049921279838,0.018792844198760553,"(np.float64(0.006380949162070297), np.float64(0.016146192442297806), np.float64(0.009147013406736734))",516.7453115136318
k2_L1_seed25,2,L1,25,0.19154082976588022,1.9356439441257411,0.029371116723697598,"(np.float64(0.03254367237371125), np.float64(0.05038253481401069), np.float64(0.0395443795622436))",500.02720549668425
k2_L1_seed30,2,L1,30,0.2876944537478072,1.5278958684731228,0.00032656113110978525,"(np.float64(0.0016778910674439065), np.float64(0.0031798828085654713), np.float64(0.0021966839528535296))",482.1427465965553
k2_L1_seed35,2,L1,35,0.19197646308308294,1.932074455883564,0.033929425935138334,"(np.float64(0.034502463497728786), np.float64(0.053260400619899895), np.float64(0.04187682448010242))",499.37465293996587
k2_L1_seed40,2,L1,40,0.19197646308308294,1.932074455883564,0.033929425935138334,"(np.float64(0.034502463497728786), np.float64(0.053260400619899895), np.float64(0.04187682448010242))",499.37465293996587
k2_L1_seed45,2,L1,45,0.19197646308308294,1.932074455883564,0.033929425935138334,"(np.float64(0.034502463497728786), np.float64(0.053260400619899895), np.float64(0.04187682448010242))",499.37465293996587
k2_L1_seed50,2,L1,50,0.19154082976588022,1.9356439441257411,0.029371116723697598,"(np.float64(0.03254367237371125), np.float64(0.05038253481401069), np.float64(0.0395443795622436))",500.02720549668425
k2_L1_seed55,2,L1,55,0.19197646308308294,1.932074455883564,0.033929425935138334,"(np.float64(0.034502463497728786), np.float64(0.053260400619899895), np.float64(0.04187682448010242))",499.37465293996587
k2_L1_seed60,2,L1,60,0.19154082976588022,1.9356439441257411,0.029371116723697598,"(np.float64(0.03254367237371125), np.float64(0.05038253481401069), np.float64(0.0395443795622436))",500.02720549668425
k2_L1_seed65,2,L1,65,0.19197646308308294,1.932074455883564,0.033929425935138334,"(np.float64(0.034502463497728786), np.float64(0.053260400619899895), np.float64(0.04187682448010242))",499.37465293996587
k2_L2_seed20,2,L2,20,0.2557568601762223,1.8971343793594362,0.009190310269601685,"(np.float64(0.004486293113638849), np.float64(0.007464909232994444), np.float64(0.005604418687690658))",499.9429761269503
