,k,m,silhouette,davies_bouldin,adjusted_rand_score,homogeneity,completeness,v_measure
fuzzy_k2_m1.5,2.0,1.5,0.13061006913819295,2.6470969078038977,0.3264006750208594,0.2500101035165209,0.2513746931114376,0.25069054135224544
fuzzy_k3_m1.5,3.0,1.5,0.12575759230388456,2.169378154014223,0.5133467605028194,0.4237393700887876,0.42038435469445556,0.4220551950465596
fuzzy_k4_m1.5,4.0,1.5,0.09202943058950436,2.45481064907157,0.2393891048539939,0.29833422346261257,0.19568083005098652,0.2363421440888279
fuzzy_k5_m1.5,5.0,1.5,0.13116462913406943,1.8290444409424786,0.42823972730136795,0.4639604517314052,0.3267736518390541,0.3834665798189114
fuzzy_k6_m1.5,6.0,1.5,0.11816512760124079,2.176176987322614,0.3801062956458129,0.4815000497839677,0.2750847574155842,0.3501347717532991
fuzzy_k7_m1.5,7.0,1.5,0.023114738472801346,3.3381245993243205,0.40314418843065425,0.4890450263342974,0.27497420260472455,0.3520193237566084
fuzzy_k8_m1.5,8.0,1.5,0.05824704529777393,3.5432821709466658,0.5512106798578587,0.5230820714045089,0.4447939971242032,0.4807718114524647
fuzzy_k9_m1.5,9.0,1.5,0.08491118282862294,3.692666802057326,0.5259265311721367,0.4986686828669512,0.42050442437105684,0.4562631038476265
fuzzy_k2_m2.0,2.0,2.0,0.15524759410687333,2.351846152912604,0.5472070709518406,0.457717607915727,0.46798321764841616,0.46279349226289646
fuzzy_k3_m2.0,3.0,2.0,0.10697543706877168,2.159917285135537,0.5530639899425254,0.48039383085371623,0.4660080918626634,0.4730916264755404
fuzzy_k4_m2.0,4.0,2.0,0.1227802456233613,2.285575030846191,0.5452870302581129,0.45855150405890666,0.4611422907712179,0.4598432482788898
fuzzy_k5_m2.0,5.0,2.0,0.09281920475608564,2.765361868719841,0.4093073313340334,0.5029308901407035,0.28650430578597463,0.3650505229094641
fuzzy_k6_m2.0,6.0,2.0,0.02348662541394676,1.9266494548221074,0.47020188901373694,0.4927499775697969,0.3670257555566803,0.4206955973517521
fuzzy_k7_m2.0,7.0,2.0,0.07260080384673841,3.347939322041807,0.554619878740355,0.4942985151809085,0.45668849330022904,0.4747497960020491
fuzzy_k8_m2.0,8.0,2.0,0.05939981386260775,3.5654888520194064,0.4992064292036758,0.48445570194375537,0.3824147185064136,0.4274294900763611
fuzzy_k9_m2.0,9.0,2.0,0.07575565253384814,3.369766452992317,0.5554907734030071,0.49082264941442627,0.46386062152007335,0.47696090660653334
fuzzy_k2_m2.5,2.0,2.5,0.15489070439011948,2.3537811449635493,0.5483003899782857,0.4590230232078548,0.4694099317282011,0.46415837533580806
fuzzy_k3_m2.5,3.0,2.5,0.12698555272066414,1.8897134653429426,0.543553299511328,0.4539050606163206,0.4623405053402253,0.45808395237961363
fuzzy_k4_m2.5,4.0,2.5,0.08766520651135155,2.3471087759074973,0.5359992184325193,0.4562358349934149,0.44295059399095127,0.4494950715360595
fuzzy_k5_m2.5,5.0,2.5,0.18467363050991562,1.606636730438224,0.41676895929487145,0.44705381944061673,0.31937614628936806,0.3725802289081904
fuzzy_k6_m2.5,6.0,2.5,0.09029118811705791,2.1293899146133666,0.5392506882949059,0.45319230708456965,0.4520198386515976,0.4526053135531358
fuzzy_k7_m2.5,7.0,2.5,0.08338131091039441,3.547569843650977,0.5188304507113519,0.4810116861647668,0.4129562156670288,0.44439350720132026
fuzzy_k8_m2.5,8.0,2.5,0.05042838874902805,1.934444508704459,0.5370802494678234,0.45064889780022366,0.44849396383716233,0.44956884850358864
fuzzy_k9_m2.5,9.0,2.5,0.09230212126610579,2.196656350376521,0.5028673222229555,0.4658114681430795,0.4000672713196276,0.4304434663103718
