,k,distance,seed,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure,sum_of_squared_error
L1_seed20,16,L1,20,0.21070747927541822,1.8751248506037994,0.1991519897288233,"(np.float64(0.8781661251707588), np.float64(0.2472194286741927), np.float64(0.38582284445363546))",2391.7550101738325
L1_seed25,16,L1,25,0.21070747927541822,1.8751248506037994,0.1991519897288233,"(np.float64(0.8781661251707588), np.float64(0.24721942867419272), np.float64(0.3858228444536355))",2391.7550101738325
L1_seed30,16,L1,30,0.21070747927541822,1.875124850603799,0.1991519897288233,"(np.float64(0.8781661251707588), np.float64(0.2472194286741927), np.float64(0.38582284445363546))",2391.7550101738325
L1_seed35,16,L1,35,0.21070747927541822,1.8751248506037992,0.1991519897288233,"(np.float64(0.8781661251707585), np.float64(0.2472194286741927), np.float64(0.38582284445363546))",2391.7550101738325
L1_seed40,16,L1,40,0.21070747927541822,1.8751248506037992,0.1991519897288233,"(np.float64(0.8781661251707588), np.float64(0.24721942867419272), np.float64(0.3858228444536355))",2391.7550101738325
L1_seed45,16,L1,45,0.21070747927541822,1.8751248506037992,0.1991519897288233,"(np.float64(0.8781661251707585), np.float64(0.2472194286741927), np.float64(0.38582284445363546))",2391.7550101738325
L1_seed50,16,L1,50,0.21070747927541822,1.875124850603799,0.1991519897288233,"(np.float64(0.8781661251707588), np.float64(0.24721942867419272), np.float64(0.3858228444536355))",2391.7550101738325
L1_seed55,16,L1,55,0.2092980010527268,1.9386365216726777,0.1991519897288233,"(np.float64(0.8781661251707588), np.float64(0.2472194286741927), np.float64(0.38582284445363546))",2396.8175101738325
L1_seed60,16,L1,60,0.21070747927541822,1.875124850603799,0.1991519897288233,"(np.float64(0.8781661251707585), np.float64(0.24721942867419264), np.float64(0.3858228444536354))",2391.7550101738325
L1_seed65,16,L1,65,0.21070747927541822,1.8751248506037994,0.1991519897288233,"(np.float64(0.8781661251707588), np.float64(0.2472194286741927), np.float64(0.38582284445363546))",2391.7550101738325
L2_seed20,16,L2,20,0.12737462194902924,2.4975790038943106,0.09921588861143918,"(np.float64(0.7487840210985994), np.float64(0.19592011936648154), np.float64(0.31057735117182783))",2588.4158996366646
