,k,distance,seed,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure,sum_of_squared_error
k2_L1_seed20,2,L1,20,0.15975434854853224,2.2871971932271826,0.60320983547075,"(np.float64(0.5332171762460127), np.float64(0.5511424047580457), np.float64(0.5420316321683744))",38534.67287169856
k2_L1_seed25,2,L1,25,0.1335881856228811,2.314909804092107,0.13678625156472166,"(np.float64(0.11889412685155176), np.float64(0.13953633013125036), np.float64(0.12839082768118862))",40000.728214277624
k2_L1_seed30,2,L1,30,0.1598048109828624,2.2861769471396114,0.6047405915167465,"(np.float64(0.5356332738535796), np.float64(0.5538174398921092), np.float64(0.5445735997119445))",38532.846014155526
k2_L1_seed35,2,L1,35,0.1598048109828624,2.2861769471396114,0.6047405915167465,"(np.float64(0.5356332738535796), np.float64(0.5538174398921092), np.float64(0.5445735997119445))",38532.846014155526
k2_L1_seed40,2,L1,40,0.1598048109828624,2.2861769471396114,0.6047405915167465,"(np.float64(0.5356332738535796), np.float64(0.5538174398921092), np.float64(0.5445735997119445))",38532.846014155526
k2_L1_seed45,2,L1,45,0.1598048109828624,2.2861769471396114,0.6047405915167465,"(np.float64(0.5356332738535796), np.float64(0.5538174398921092), np.float64(0.5445735997119445))",38532.846014155526
k2_L1_seed50,2,L1,50,0.1289146911496798,2.657091723891347,0.023192581417696204,"(np.float64(0.01600948694525603), np.float64(0.016627521249650574), np.float64(0.01631265236007702))",40153.939598139084
k2_L1_seed55,2,L1,55,0.1598048109828624,2.2861769471396114,0.6047405915167465,"(np.float64(0.5356332738535796), np.float64(0.5538174398921092), np.float64(0.5445735997119445))",38532.846014155526
k2_L1_seed60,2,L1,60,0.1598048109828624,2.2861769471396114,0.6047405915167465,"(np.float64(0.5356332738535796), np.float64(0.5538174398921092), np.float64(0.5445735997119445))",38532.846014155526
k2_L1_seed65,2,L1,65,0.1335881856228811,2.314909804092107,0.13678625156472166,"(np.float64(0.11889412685155178), np.float64(0.13953633013125039), np.float64(0.12839082768118862))",40000.728214277624
k2_L2_seed20,2,L2,20,0.11465632044683322,2.824981685965425,-0.00013570749405944138,"(np.float64(8.063104670697361e-05), np.float64(8.220588872096178e-05), np.float64(8.141085234291411e-05))",40586.52249485566
k2_L2_seed25,2,L2,25,0.13998624863889264,1.8557061706038098,0.2186316636291652,"(np.float64(0.2708415412527148), np.float64(0.3585516282792515), np.float64(0.30858509536745393))",39236.56395007761
k2_L2_seed30,2,L2,30,0.16012213951490917,2.2774509600141766,0.620542718356488,"(np.float64(0.5625953266770887), np.float64(0.5836663644423771), np.float64(0.572937177466336))",38524.00082218084
k2_L2_seed35,2,L2,35,0.16012213951490917,2.2774509600141766,0.620542718356488,"(np.float64(0.5625953266770887), np.float64(0.5836663644423771), np.float64(0.572937177466336))",38524.00082218084
k2_L2_seed40,2,L2,40,0.16012213951490917,2.2774509600141766,0.620542718356488,"(np.float64(0.5625953266770887), np.float64(0.5836663644423771), np.float64(0.572937177466336))",38524.00082218084
k2_L2_seed45,2,L2,45,0.16012213951490917,2.2774509600141766,0.620542718356488,"(np.float64(0.5625953266770887), np.float64(0.5836663644423771), np.float64(0.572937177466336))",38524.00082218084
k2_L2_seed50,2,L2,50,0.16045327170674312,1.6219929936960678,0.12544169595635088,"(np.float64(0.1918693535426708), np.float64(0.30274368644020294), np.float64(0.2348795147350667))",39351.55711775043
k2_L2_seed55,2,L2,55,0.16045327170674312,1.6219929936960678,0.12544169595635088,"(np.float64(0.1918693535426708), np.float64(0.30274368644020294), np.float64(0.2348795147350667))",39351.55711775043
k2_L2_seed60,2,L2,60,0.16012213951490917,2.2774509600141766,0.620542718356488,"(np.float64(0.5625953266770887), np.float64(0.5836663644423771), np.float64(0.572937177466336))",38524.00082218084
k2_L2_seed65,2,L2,65,0.1325649951582081,2.416491329595122,0.07281011050888046,"(np.float64(0.05602445088569588), np.float64(0.062034887393125515), np.float64(0.05887667257202132))",39862.524212314616
k2_cosine_seed20,2,cosine,20,0.1601105527018482,2.2777973384775736,0.6197671530086495,"(np.float64(0.5611644175038817), np.float64(0.582083458095466), np.float64(0.5714325504948677))",38524.03548825978
k2_cosine_seed25,2,cosine,25,0.1325649951582081,2.416491329595122,0.07281011050888046,"(np.float64(0.05602445088569588), np.float64(0.062034887393125515), np.float64(0.05887667257202132))",39862.524212314616
k2_cosine_seed30,2,cosine,30,0.1601105527018482,2.2777973384775736,0.6197671530086495,"(np.float64(0.5611644175038817), np.float64(0.5820834580954661), np.float64(0.5714325504948679))",38524.03548825978
k2_cosine_seed35,2,cosine,35,0.16142255664328473,1.6638663855453162,0.13182908207426086,"(np.float64(0.19802595030859285), np.float64(0.30735202519335963), np.float64(0.24086398623815955))",39387.83172571866
k2_cosine_seed40,2,cosine,40,0.1325649951582081,2.416491329595122,0.07281011050888046,"(np.float64(0.05602445088569588), np.float64(0.062034887393125515), np.float64(0.05887667257202132))",39862.524212314616
k2_cosine_seed45,2,cosine,45,0.16142255664328473,1.6638663855453162,0.13182908207426086,"(np.float64(0.19802595030859285), np.float64(0.30735202519335963), np.float64(0.24086398623815955))",39387.83172571866
