k,affinity,eigen_solver,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure
2,nearest_neighbors,lobpcg,0.08167482762982461,2.9179478485263397,0.026754136169631303,"(np.float64(0.07489575452860044), np.float64(0.141624339405065), np.float64(0.09797762015202702))"
2,rbf_gamma0.1,lobpcg,0.15998565322009295,2.2736415355123833,0.6322344150386344,"(np.float64(0.5864784755640755), np.float64(0.6100189709914886), np.float64(0.5980171494760312))"
2,rbf_gamma1,lobpcg,0.14787039747107503,2.0486808984281426,0.09298096539487742,"(np.float64(0.10006978602568539), np.float64(0.1408615084937928), np.float64(0.11701245404705626))"
2,rbf_gamma10,lobpcg,0.10477781053741886,2.938560819298192,0.128523294908336,"(np.float64(0.11128795770109201), np.float64(0.13087241582432624), np.float64(0.12028825083529683))"
3,nearest_neighbors,lobpcg,0.1018058845854992,2.916571401648303,0.1871585505208391,"(np.float64(0.24774403983447393), np.float64(0.2089453023778441), np.float64(0.2266965682394091))"
3,rbf_gamma0.1,lobpcg,0.20818197366348043,1.6583895261424093,0.48065889234622783,"(np.float64(0.5781001848252354), np.float64(0.4347338580199852), np.float64(0.49627029313734733))"
3,rbf_gamma1,lobpcg,0.12674013110612106,2.2704477096808455,0.0209701597655835,"(np.float64(0.019572758763894357), np.float64(0.01957928889921971), np.float64(0.019576023286979292))"
3,rbf_gamma10,lobpcg,0.051092429797343415,3.1964164615598283,0.00023048587359336713,"(np.float64(0.012901875842788704), np.float64(0.018710161780254427), np.float64(0.015272421674670593))"
4,nearest_neighbors,lobpcg,0.1163678473926125,2.3488510487676937,0.2722257119730672,"(np.float64(0.39382987040611694), np.float64(0.2816663291362576), np.float64(0.32843593783843444))"
4,rbf_gamma0.1,lobpcg,0.2222138132179648,1.878196961126323,0.31423058101251605,"(np.float64(0.6483430433774865), np.float64(0.3385256517028246), np.float64(0.44480233769801564))"
4,rbf_gamma1,lobpcg,0.20606644373475397,1.5050477769420176,0.4611156222125853,"(np.float64(0.5247828865807823), np.float64(0.3840079675873922), np.float64(0.4434921605477318))"
4,rbf_gamma10,lobpcg,0.06624325160206218,2.7438456224840966,0.2932014003139399,"(np.float64(0.2569188798391429), np.float64(0.20152877168088543), np.float64(0.22587768136205402))"
5,nearest_neighbors,lobpcg,0.09858658454844639,2.528773481322606,0.15235506936357793,"(np.float64(0.2216167168595338), np.float64(0.128718883219834), np.float64(0.1628510279317476))"
5,rbf_gamma0.1,lobpcg,0.24973636514667438,1.8176488203613943,0.26978040871704295,"(np.float64(0.6794313830848457), np.float64(0.3047589675393846), np.float64(0.42077796574913073))"
5,rbf_gamma1,lobpcg,0.10103527958193756,1.5575437020763552,0.03827736391189962,"(np.float64(0.13618015855824564), np.float64(0.19261205114571428), np.float64(0.15955329166022134))"
5,rbf_gamma10,lobpcg,0.07704748467584145,2.62194274005023,0.019064950749922163,"(np.float64(0.05075638936056467), np.float64(0.04500267938033623), np.float64(0.04770667774719864))"
6,nearest_neighbors,lobpcg,0.1032223572817745,2.454241344860119,0.20785926663745552,"(np.float64(0.3745398259247444), np.float64(0.21046997479696222), np.float64(0.2694976652548058))"
6,rbf_gamma0.1,lobpcg,0.2635134188419691,1.7030876251210312,0.2629997042293592,"(np.float64(0.6945785763787595), np.float64(0.29559844586410394), np.float64(0.41470634663486394))"
6,rbf_gamma1,lobpcg,0.11139852077148527,1.5490648780468923,0.13669529402151245,"(np.float64(0.1831561437163226), np.float64(0.1677130389485517), np.float64(0.17509473605780598))"
