,k,m,silhouette,davies_bouldin,adjusted_rand_score,homogeneity,completeness,v_measure
fuzzy_k2_m1.5,2.0,1.5,0.18484885881483423,2.21381793091009,0.0048712965835641334,0.08893852002441176,0.029568361449769237,0.04438166415614086
fuzzy_k3_m1.5,3.0,1.5,0.1153327579641521,2.0554157330888785,0.0031847106707891476,0.0974553175346513,0.025994046400326164,0.04104124906287162
fuzzy_k4_m1.5,4.0,1.5,0.1853560505263346,1.7575222922266245,0.0023244253595532437,0.09495464219537188,0.025274497708475452,0.03992261590651594
fuzzy_k5_m1.5,5.0,1.5,0.143284735020655,1.9984772146144383,0.0007894016335794375,0.09044918859926103,0.0264380553142018,0.04091636642715825
fuzzy_k6_m1.5,6.0,1.5,0.09838653411473886,1.9839278758815535,0.003364550767914668,0.103222257235556,0.024134282029195576,0.03912158860777979
fuzzy_k7_m1.5,7.0,1.5,0.106628489388058,1.9510630942616514,0.003154351234282117,0.09879934814936898,0.026030840268060258,0.04120525784459379
fuzzy_k8_m1.5,8.0,1.5,0.14904728243838564,1.8358759939378515,0.007838808695341714,0.14108613358846567,0.0272098952398417,0.045621265593294304
fuzzy_k9_m1.5,9.0,1.5,0.11335222288292826,2.0680811726158717,-0.0012948434407561824,0.09666108903165255,0.023883655202583117,0.03830312365095237
fuzzy_k2_m2.0,2.0,2.0,0.18770900635398935,2.1638823306754706,0.009617552685630136,0.08804585234539294,0.02926342322251006,0.04392701306348918
fuzzy_k3_m2.0,3.0,2.0,0.18952350088846856,2.0202166609822974,-0.002489449489755977,0.09628539518868595,0.02572106890541418,0.04059724708230416
fuzzy_k4_m2.0,4.0,2.0,0.025065814329627945,1.9432271121988365,0.003925532349265768,0.08736979735059673,0.027962941955268737,0.042366401538059706
fuzzy_k5_m2.0,5.0,2.0,0.1717587278996197,1.8492676813653262,-0.0003994089901319814,0.09211228072302781,0.026144346171289513,0.04072863258651868
fuzzy_k6_m2.0,6.0,2.0,0.11724435262794727,1.9204720592489029,-0.005917349083769196,0.09272002094525263,0.023214899128469912,0.0371326591171133
fuzzy_k7_m2.0,7.0,2.0,0.045894674051906795,2.0939947718510052,-0.007269766968322051,0.092224117954754,0.02304646172298418,0.03687739942528796
fuzzy_k8_m2.0,8.0,2.0,0.1661780289722902,2.008546940760141,0.00796502570280652,0.09344036036219835,0.02598995007688447,0.0406682406174993
fuzzy_k9_m2.0,9.0,2.0,0.12483114547264904,2.0425195167143797,0.0018318312054027353,0.09433178122750661,0.02472216021545572,0.03917695425536193
fuzzy_k2_m2.5,2.0,2.5,0.18605917661337615,2.2071827226431115,0.002827463486597127,0.08649623803778501,0.028769504100861286,0.043177683651121894
fuzzy_k3_m2.5,3.0,2.5,0.16121012671565066,1.7908934005394708,0.0021993358416550423,0.08763939887253552,0.02756006345474108,0.041933310195503296
fuzzy_k4_m2.5,4.0,2.5,0.06449513893682789,2.5170160399093007,-0.001392667066719939,0.08679884693374641,0.02555687740927471,0.03948721800020944
fuzzy_k5_m2.5,5.0,2.5,0.0017322290212599624,1.8013028957476704,0.003309005271384115,0.09212157628926768,0.02765837270375343,0.042543562799718236
fuzzy_k6_m2.5,6.0,2.5,0.10862780772515349,2.4728660932755933,-0.0005812237902660087,0.08619950325966635,0.02507392916095006,0.03884773195944853
fuzzy_k7_m2.5,7.0,2.5,-0.008783238798869823,1.8953849605877202,0.00483215655538287,0.09045035825370772,0.029199748542048216,0.04414751958483205
fuzzy_k8_m2.5,8.0,2.5,0.030050284421957143,2.154488413918982,-0.001287005781014201,0.09211895145961506,0.025637704516061757,0.040111846558191507
fuzzy_k9_m2.5,9.0,2.5,0.17951667794125073,1.8786680183742763,-0.015581136114195654,0.09512087317882459,0.021976683384007965,0.03570426872126419
