,k,distance,seed,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure,sum_of_squared_error
L1_seed20,15,L1,20,0.3753779818171366,1.287925026649762,-0.0012757436365009459,"(np.float64(0.18209645263918647), np.float64(0.0188454667057878), np.float64(0.034156065062386234))",258.11252503750313
L1_seed25,15,L1,25,0.3753779818171366,1.2879250266497608,-0.0012757436365009459,"(np.float64(0.1820964526391865), np.float64(0.018845466705787812), np.float64(0.03415606506238625))",258.1125250375032
L1_seed30,15,L1,30,0.3753779818171366,1.2879250266497622,-0.0012757436365009459,"(np.float64(0.18209645263918647), np.float64(0.01884546670578781), np.float64(0.03415606506238624))",258.11252503750313
L1_seed35,15,L1,35,0.3753779818171366,1.2879250266497606,-0.0012757436365009459,"(np.float64(0.18209645263918647), np.float64(0.018845466705787805), np.float64(0.03415606506238624))",258.11252503750313
L1_seed40,15,L1,40,0.3753779818171366,1.2879250266497608,-0.0012757436365009459,"(np.float64(0.18209645263918647), np.float64(0.018845466705787805), np.float64(0.03415606506238624))",258.1125250375032
L1_seed45,15,L1,45,0.3753779818171366,1.2879250266497613,-0.0012757436365009459,"(np.float64(0.18209645263918647), np.float64(0.018845466705787805), np.float64(0.03415606506238624))",258.11252503750313
L1_seed50,15,L1,50,0.3753779818171366,1.2879250266497622,-0.0012757436365009459,"(np.float64(0.18209645263918647), np.float64(0.018845466705787805), np.float64(0.03415606506238624))",258.11252503750313
L1_seed55,15,L1,55,0.3753779818171366,1.2879250266497613,-0.0012757436365009459,"(np.float64(0.18209645263918647), np.float64(0.018845466705787805), np.float64(0.03415606506238624))",258.11252503750313
L1_seed60,15,L1,60,0.3753779818171366,1.2879250266497617,-0.0012757436365009459,"(np.float64(0.18209645263918647), np.float64(0.0188454667057878), np.float64(0.034156065062386234))",258.11252503750313
L1_seed65,15,L1,65,0.3753779818171366,1.2879250266497617,-0.0012757436365009459,"(np.float64(0.18209645263918647), np.float64(0.0188454667057878), np.float64(0.034156065062386234))",258.11252503750313
L2_seed20,16,L2,20,0.4369196072021068,1.3704893790998867,-0.00109363462414271,"(np.float64(0.189033488668726), np.float64(0.017233609208203826), np.float64(0.03158748345724036))",198.08515002724533
L2_seed25,16,L2,25,0.4369196072021068,1.3704893790998864,-0.00109363462414271,"(np.float64(0.18903348866872596), np.float64(0.017233609208203823), np.float64(0.031587483457240356))",198.08515002724533
L2_seed30,16,L2,30,0.4369196072021068,1.3704893790998867,-0.00109363462414271,"(np.float64(0.189033488668726), np.float64(0.017233609208203826), np.float64(0.03158748345724036))",198.08515002724533
L2_seed35,16,L2,35,0.4369196072021068,1.3704893790998867,-0.00109363462414271,"(np.float64(0.18903348866872596), np.float64(0.017233609208203826), np.float64(0.03158748345724036))",198.08515002724533
L2_seed40,16,L2,40,0.4369196072021068,1.3704893790998867,-0.00109363462414271,"(np.float64(0.18903348866872594), np.float64(0.017233609208203823), np.float64(0.031587483457240356))",198.08515002724533
L2_seed45,16,L2,45,0.4369196072021068,1.3704893790998867,-0.00109363462414271,"(np.float64(0.189033488668726), np.float64(0.017233609208203826), np.float64(0.03158748345724036))",198.08515002724533
L2_seed50,16,L2,50,0.4369196072021068,1.3704893790998862,-0.00109363462414271,"(np.float64(0.18903348866872596), np.float64(0.017233609208203826), np.float64(0.03158748345724036))",198.08515002724533
L2_seed55,16,L2,55,0.4369196072021068,1.3704893790998864,-0.00109363462414271,"(np.float64(0.189033488668726), np.float64(0.017233609208203826), np.float64(0.03158748345724036))",198.08515002724533
L2_seed60,16,L2,60,0.4369196072021068,1.3704893790998862,-0.00109363462414271,"(np.float64(0.18903348866872596), np.float64(0.017233609208203826), np.float64(0.03158748345724036))",198.08515002724533
L2_seed65,16,L2,65,0.4369196072021068,1.3704893790998862,-0.00109363462414271,"(np.float64(0.189033488668726), np.float64(0.017233609208203826), np.float64(0.03158748345724036))",198.08515002724533
cosine_seed20,16,cosine,20,0.4377819642512938,1.3092520240505319,-0.0009879590902740797,"(np.float64(0.18901496846983457), np.float64(0.017276290696518645), np.float64(0.03165890357618))",197.48453715253473
cosine_seed25,16,cosine,25,0.4377819642512938,1.3092520240505319,-0.0009879590902740797,"(np.float64(0.18901496846983454), np.float64(0.01727629069651864), np.float64(0.031658903576179995))",197.4845371525347
cosine_seed30,16,cosine,30,0.4377819642512938,1.3092520240505319,-0.0009879590902740797,"(np.float64(0.1890149684698346), np.float64(0.017276290696518648), np.float64(0.03165890357618001))",197.48453715253473
cosine_seed35,16,cosine,35,0.4377819642512938,1.3092520240505319,-0.0009879590902740797,"(np.float64(0.18901496846983457), np.float64(0.017276290696518645), np.float64(0.03165890357618))",197.4845371525347
cosine_seed40,16,cosine,40,0.4377819642512938,1.3092520240505319,-0.0009879590902740797,"(np.float64(0.18901496846983457), np.float64(0.017276290696518645), np.float64(0.03165890357618))",197.48453715253473
cosine_seed45,16,cosine,45,0.4377819642512938,1.3092520240505319,-0.0009879590902740797,"(np.float64(0.1890149684698346), np.float64(0.017276290696518648), np.float64(0.03165890357618001))",197.4845371525347
cosine_seed50,16,cosine,50,0.4377819642512938,1.3092520240505319,-0.0009879590902740797,"(np.float64(0.1890149684698346), np.float64(0.017276290696518648), np.float64(0.03165890357618001))",197.4845371525347
cosine_seed55,16,cosine,55,0.4377819642512938,1.3092520240505319,-0.0009879590902740797,"(np.float64(0.1890149684698346), np.float64(0.017276290696518648), np.float64(0.03165890357618001))",197.4845371525347
cosine_seed60,16,cosine,60,0.4377819642512938,1.309252024050532,-0.0009879590902740797,"(np.float64(0.1890149684698346), np.float64(0.017276290696518648), np.float64(0.03165890357618001))",197.48453715253473
cosine_seed65,16,cosine,65,0.4377819642512938,1.3092520240505319,-0.0009879590902740797,"(np.float64(0.1890149684698346), np.float64(0.017276290696518648), np.float64(0.03165890357618001))",197.48453715253473
