,k,distance,seed,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure,sum_of_squared_error
k2_L1_seed20,2,L1,20,0.36713011600182877,1.2871729896211688,-0.04464219336113893,"(np.float64(0.009112168022168259), np.float64(0.006357613341105614), np.float64(0.0074896521965935265))",4405.538666446992
k2_L1_seed25,2,L1,25,0.36713011600182877,1.2871729896211688,-0.04464219336113893,"(np.float64(0.009112168022168259), np.float64(0.006357613341105614), np.float64(0.0074896521965935265))",4405.538666446992
k2_L1_seed30,2,L1,30,0.36222361762579425,1.2476936818087978,-0.06428906509856386,"(np.float64(0.025153766106628117), np.float64(0.019531270882739298), np.float64(0.02198879323593351))",4503.74429053678
k2_L1_seed35,2,L1,35,0.19156954735783652,2.070633283202423,0.011197239259553238,"(np.float64(0.003225435666129934), np.float64(0.0011605513766892882), np.float64(0.0017069288012961023))",4586.649131742457
k2_L1_seed40,2,L1,40,0.36713011600182877,1.2871729896211688,-0.04464219336113893,"(np.float64(0.009112168022168259), np.float64(0.006357613341105614), np.float64(0.0074896521965935265))",4405.538666446992
k2_L1_seed45,2,L1,45,0.36222361762579425,1.2476936818087978,-0.06428906509856386,"(np.float64(0.025153766106628117), np.float64(0.019531270882739298), np.float64(0.02198879323593351))",4503.74429053678
k2_L1_seed50,2,L1,50,0.36222361762579425,1.2476936818087978,-0.06428906509856386,"(np.float64(0.025153766106628117), np.float64(0.019531270882739298), np.float64(0.02198879323593351))",4503.74429053678
k2_L1_seed55,2,L1,55,0.36713011600182877,1.2871729896211688,-0.04464219336113893,"(np.float64(0.009112168022168259), np.float64(0.006357613341105614), np.float64(0.0074896521965935265))",4405.538666446992
k2_L1_seed60,2,L1,60,0.1871218675164108,2.205369938515091,-0.006717279558885144,"(np.float64(0.08141183261461456), np.float64(0.027226606284889786), np.float64(0.040806328514714565))",4558.753513581289
k2_L1_seed65,2,L1,65,0.36713011600182877,1.2871729896211688,-0.04464219336113893,"(np.float64(0.009112168022168259), np.float64(0.006357613341105614), np.float64(0.0074896521965935265))",4405.538666446992
k2_L2_seed20,2,L2,20,0.18700380940723071,1.869453280706398,-0.04047954740895201,"(np.float64(0.008134063678281133), np.float64(0.005025242096704924), np.float64(0.006212430946178869))",4908.748288865371
k2_L2_seed25,2,L2,25,0.2713859302388669,1.921342737392822,-0.06376236726146844,"(np.float64(0.06567783490682565), np.float64(0.028099028310919878), np.float64(0.0393590333291846))",4468.58872712355
k2_L2_seed30,2,L2,30,0.1912052966045897,2.0367936425224435,0.046637757351293184,"(np.float64(0.12035045346732748), np.float64(0.04091796591173451), np.float64(0.061072040904212636))",4504.744027586099
k2_L2_seed35,2,L2,35,0.36713011600182877,1.2871729896211688,-0.04464219336113893,"(np.float64(0.009112168022168259), np.float64(0.006357613341105614), np.float64(0.0074896521965935265))",4405.538666446992
k2_L2_seed40,2,L2,40,0.1874266049286854,2.135024505050638,0.014744859754444513,"(np.float64(0.09176043916373385), np.float64(0.030525263670404493), np.float64(0.04581094167294807))",4521.385069878541
k2_L2_seed45,2,L2,45,0.1874266049286854,2.135024505050638,0.014744859754444513,"(np.float64(0.09176043916373385), np.float64(0.030525263670404493), np.float64(0.04581094167294807))",4521.385069878541
k2_L2_seed50,2,L2,50,0.18700380940723071,1.869453280706398,-0.04047954740895201,"(np.float64(0.008134063678281133), np.float64(0.005025242096704924), np.float64(0.006212430946178869))",4908.748288865371
k2_L2_seed55,2,L2,55,0.1655584764038574,2.0833231639753733,0.0803086488955351,"(np.float64(0.012809408065458706), np.float64(0.01792089247038383), np.float64(0.014940044226551463))",5230.336513318312
k2_L2_seed60,2,L2,60,0.27230259633003295,1.864643603374643,-0.06604534898226999,"(np.float64(0.058217182394856154), np.float64(0.026240689797092608), np.float64(0.0361756455481674))",4495.136289769681
k2_L2_seed65,2,L2,65,0.1874266049286854,2.135024505050638,0.014744859754444513,"(np.float64(0.09176043916373385), np.float64(0.030525263670404493), np.float64(0.04581094167294807))",4521.385069878541
k2_cosine_seed20,2,cosine,20,0.11830031490630523,1.8982737243784986,-0.03227366704010394,"(np.float64(0.004415674386585938), np.float64(0.002998080388206991), np.float64(0.0035713473621066722))",5009.840272519886
k2_cosine_seed25,2,cosine,25,0.2713859302388669,1.921342737392822,-0.06376236726146844,"(np.float64(0.06567783490682565), np.float64(0.028099028310919878), np.float64(0.0393590333291846))",4468.58872712355
k2_cosine_seed30,2,cosine,30,0.191321012614164,2.0373311633264404,0.04649194747927357,"(np.float64(0.12021091381474862), np.float64(0.0408648440742515), np.float64(0.06099490467644674))",4504.809909582889
k2_cosine_seed35,2,cosine,35,0.18756130810839375,2.1359762926514563,0.014328539492430872,"(np.float64(0.09129826260650337), np.float64(0.030368258710933835), np.float64(0.04557653541288038))",4521.531005397568
k2_cosine_seed40,2,cosine,40,0.2746187783078019,1.8425023342406732,-0.06661376037359,"(np.float64(0.05596001211930078), np.float64(0.025675534563345388), np.float64(0.03520043127584678))",4494.517695993603
k2_cosine_seed45,2,cosine,45,0.2713859302388669,1.921342737392822,-0.06376236726146844,"(np.float64(0.06567783490682565), np.float64(0.028099028310919878), np.float64(0.0393590333291846))",4468.58872712355
k2_cosine_seed50,2,cosine,50,0.36713011600182877,1.2871729896211688,-0.04464219336113893,"(np.float64(0.009112168022168259), np.float64(0.006357613341105614), np.float64(0.0074896521965935265))",4405.538666446992
k2_cosine_seed55,2,cosine,55,0.191321012614164,2.0373311633264404,0.04649194747927357,"(np.float64(0.12021091381474862), np.float64(0.0408648440742515), np.float64(0.06099490467644674))",4504.809909582889
k2_cosine_seed60,2,cosine,60,0.1773972816627645,2.640470807598184,0.06468182918427057,"(np.float64(0.11402194588340402), np.float64(0.03993610848925284), np.float64(0.05915368078026404))",4807.959875189646
k2_cosine_seed65,2,cosine,65,0.191321012614164,2.0373311633264404,0.04649194747927357,"(np.float64(0.12021091381474862), np.float64(0.0408648440742515), np.float64(0.06099490467644674))",4504.809909582889
k3_L1_seed20,3,L1,20,0.20659498061566048,2.2390521708827995,-0.02870099279704409,"(np.float64(0.09069058278173192), np.float64(0.02030339834478536), np.float64(0.033178862667145634))",2788.8243023814916
k3_L1_seed25,3,L1,25,0.20630129032867361,1.906916110230478,0.008034778193044332,"(np.float64(0.1349358984322864), np.float64(0.029363069049323065), np.float64(0.04823076083351729))",2727.3746065084174
k3_L1_seed30,3,L1,30,0.19276659044996464,1.8279211923574181,-0.027464057520765472,"(np.float64(0.061121910222311414), np.float64(0.02341868167158775), np.float64(0.0338628941811081))",2934.4969657302718
k3_L1_seed35,3,L1,35,0.23687115941771178,1.5301951921645254,-0.046951833463007756,"(np.float64(0.017209113455147303), np.float64(0.005899335525697741), np.float64(0.008786598741946457))",2641.721823626274
k3_L1_seed40,3,L1,40,0.24968085765735676,1.5670593293792872,-0.06065588261616381,"(np.float64(0.045065339714965645), np.float64(0.014093607948017808), np.float64(0.02147209357425314))",2565.4557107152673
k3_L1_seed45,3,L1,45,0.22201452644780034,1.7492137372218621,-0.014269031322041336,"(np.float64(0.10092644844082654), np.float64(0.024767666142391957), np.float64(0.03977453659160372))",2480.6476046568164
k3_L1_seed50,3,L1,50,0.22128895591600725,1.695966580166326,-0.01027033957132806,"(np.float64(0.09354300464915893), np.float64(0.02442132998230403), np.float64(0.03873110616374404))",2510.788610591527
k3_L1_seed55,3,L1,55,0.24968085765735676,1.5670593293792872,-0.06065588261616381,"(np.float64(0.045065339714965645), np.float64(0.014093607948017808), np.float64(0.02147209357425314))",2565.4557107152673
k3_L1_seed60,3,L1,60,0.2947443572354063,1.1769800806392292,-0.04666074942058324,"(np.float64(0.017203335933969572), np.float64(0.00989109833636921), np.float64(0.012560504916891145))",2777.9427823341716
k3_L1_seed65,3,L1,65,0.23084366872258266,1.7262744817363522,-0.0016793683543098869,"(np.float64(0.016399689712723074), np.float64(0.00695481030846111), np.float64(0.009767430770614018))",2796.7674130633204
k3_L2_seed20,3,L2,20,0.2012167221103262,1.868764650308939,0.036563504406406336,"(np.float64(0.18744649739733096), np.float64(0.04252402404729919), np.float64(0.06932174882966706))",2620.327904837614
k3_L2_seed25,3,L2,25,0.2405791378821221,1.6087125521462797,-0.002952327856814584,"(np.float64(0.01928762764633393), np.float64(0.004974441019208018), np.float64(0.007909067231633024))",2453.838127377287
k3_L2_seed30,3,L2,30,0.15434714227192375,1.9410359444951653,0.040356176386288696,"(np.float64(0.1010232975237953), np.float64(0.02278089133904017), np.float64(0.03717807587513639))",2820.4247232230296
k3_L2_seed35,3,L2,35,0.21176227626656502,2.0019741801032565,-0.010009887913650168,"(np.float64(0.08218222011564984), np.float64(0.019415557901980168), np.float64(0.03141040452463037))",2769.0088728309206
k3_L2_seed40,3,L2,40,0.2405791378821221,1.6087125521462797,-0.002952327856814584,"(np.float64(0.01928762764633393), np.float64(0.004974441019208018), np.float64(0.007909067231633024))",2453.838127377287
k3_L2_seed45,3,L2,45,0.20143612693692842,1.805956643188518,0.028371710853107603,"(np.float64(0.08405008407487043), np.float64(0.01819633193027893), np.float64(0.029916026171854654))",2676.2597439891474
k3_L2_seed50,3,L2,50,0.24968085765735676,1.5670593293792872,-0.06065588261616381,"(np.float64(0.045065339714965645), np.float64(0.014093607948017808), np.float64(0.02147209357425314))",2565.4557107152673
