Algorithm,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure,noise
euclidean_auto_15_0.5,0.8470044964091905,0.19479771178070776,-0.0044940852723586895,"(np.float64(0.20535356255980544), np.float64(0.017366784887658405), np.float64(0.032025193816040395))",1197
euclidean_brute_15_0.5,0.8470044964091905,0.19479771178070776,-0.0044940852723586895,"(np.float64(0.20535356255980544), np.float64(0.017366784887658405), np.float64(0.032025193816040395))",1197
cosine_auto_15_0.5,0.8258806857364613,0.42144592589464147,0.006402816292294917,"(np.float64(0.3356309718134513), np.float64(0.014488890289327963), np.float64(0.027778603013833527))",2056
cosine_brute_15_0.5,0.8258806857364613,0.42144592589464147,0.006402816292294917,"(np.float64(0.3356309718134513), np.float64(0.014488890289327963), np.float64(0.027778603013833527))",2056
l1_auto_15_0.5,0.8416783853523677,0.19376173746963687,-0.0014188965647977541,"(np.float64(0.2345723685337511), np.float64(0.01627329609581343), np.float64(0.030435173074911497))",1534
l1_brute_15_0.5,0.8416783853523677,0.19376173746963687,-0.0014188965647977541,"(np.float64(0.2345723685337511), np.float64(0.01627329609581343), np.float64(0.030435173074911497))",1534
euclidean_auto_20_0.5,0.8445503091194384,0.20608376798624012,-0.005855776272827696,"(np.float64(0.2260827423088552), np.float64(0.01865840269202136), np.float64(0.0344718731106697))",1084
euclidean_brute_20_0.5,0.8445503091194384,0.20608376798624012,-0.005855776272827696,"(np.float64(0.2260827423088552), np.float64(0.01865840269202136), np.float64(0.0344718731106697))",1084
cosine_auto_20_0.5,0.7999289001931132,0.4617600705191401,-0.007016587742695221,"(np.float64(0.23094633713635743), np.float64(0.016697963279921353), np.float64(0.03114413253729573))",1450
cosine_brute_20_0.5,0.7999289001931132,0.4617600705191401,-0.007016587742695221,"(np.float64(0.23094633713635743), np.float64(0.016697963279921353), np.float64(0.03114413253729573))",1450
l1_auto_20_0.5,0.8519739842597853,0.19948633555527182,-0.005881537486001931,"(np.float64(0.20792851164631157), np.float64(0.018446719378830075), np.float64(0.03388708992435062))",1140
l1_brute_20_0.5,0.8519739842597853,0.19948633555527182,-0.005881537486001931,"(np.float64(0.20792851164631157), np.float64(0.018446719378830075), np.float64(0.03388708992435062))",1140
euclidean_auto_25_0.5,0.8470388002591411,0.2105621012767906,-0.005501035115536017,"(np.float64(0.19872792304985412), np.float64(0.01779804013442985), np.float64(0.03267014724938919))",1127
euclidean_brute_25_0.5,0.8470388002591411,0.2105621012767906,-0.005501035115536017,"(np.float64(0.19872792304985412), np.float64(0.01779804013442985), np.float64(0.03267014724938919))",1127
cosine_auto_25_0.5,0.8065970143091233,0.49312802679106,-0.005870584499450759,"(np.float64(0.20458288020530188), np.float64(0.017642959877068487), np.float64(0.03248449906328958))",1091
cosine_brute_25_0.5,0.8065970143091233,0.49312802679106,-0.005870584499450759,"(np.float64(0.20458288020530188), np.float64(0.017642959877068487), np.float64(0.03248449906328958))",1091
l1_auto_25_0.5,0.8520056982860719,0.2050997561373024,-0.005642603077523194,"(np.float64(0.20341205911165688), np.float64(0.01794480947136566), np.float64(0.032980143496815))",1094
l1_brute_25_0.5,0.8520056982860719,0.2050997561373024,-0.005642603077523194,"(np.float64(0.20341205911165688), np.float64(0.01794480947136566), np.float64(0.032980143496815))",1094
