k,affinity,eigen_solver,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure
2,nearest_neighbors,lobpcg,0.36713011600182877,1.287172989621169,-0.04464219336113893,"(np.float64(0.009112168022168259), np.float64(0.006357613341105614), np.float64(0.0074896521965935265))"
2,rbf_gamma0.1,lobpcg,0.40673953677950175,0.8695521509901563,-0.05580773028113146,"(np.float64(0.01704417327045525), np.float64(0.017261817990483357), np.float64(0.017152305237590173))"
2,rbf_gamma1,lobpcg,0.4075161877626092,0.857692053832926,-0.05536107135451458,"(np.float64(0.016734175514944525), np.float64(0.01716859606374582), np.float64(0.016948602518178348))"
2,rbf_gamma10,lobpcg,0.44861057066845733,0.4185353137298452,-0.0004938800401483179,"(np.float64(7.27372347066184e-05), np.float64(0.006843885183257012), np.float64(0.0001439446171260786))"
3,nearest_neighbors,lobpcg,0.03877634654942946,1.7539759622273505,-0.04268015723580696,"(np.float64(0.018210446111399534), np.float64(0.005678791777855415), np.float64(0.008657733840476233))"
3,rbf_gamma0.1,lobpcg,0.2153630410422039,1.7243625111797016,-0.009691372390416144,"(np.float64(0.08997109156515684), np.float64(0.023525454964243853), np.float64(0.03729824258840616))"
3,rbf_gamma1,lobpcg,0.29396451371907434,1.1597623238229993,-0.04623588473157767,"(np.float64(0.017122957817225833), np.float64(0.009924741101487411), np.float64(0.01256601707512212))"
3,rbf_gamma10,lobpcg,0.3608091430141265,0.7089630236551333,-0.0014701245632508654,"(np.float64(0.0002182714570512912), np.float64(0.0072065567837279135), np.float64(0.0004237096397376272))"
4,nearest_neighbors,lobpcg,-0.05284404420409876,1.6897854758046502,-0.03901516703010505,"(np.float64(0.01901013306947655), np.float64(0.00568566812946197), np.float64(0.008753334776164268))"
4,rbf_gamma0.1,lobpcg,0.24826341711622055,1.5410171998023194,0.009328021448131225,"(np.float64(0.08121957940901886), np.float64(0.014997928168907196), np.float64(0.025320244694527455))"
4,rbf_gamma1,lobpcg,0.23737266588017025,1.5378726959316376,-0.008805153839995248,"(np.float64(0.08812671247740406), np.float64(0.01991490088929384), np.float64(0.03248812545459003))"
4,rbf_gamma10,lobpcg,0.3069665245944824,1.1960186498362024,0.005508473587188086,"(np.float64(0.0019109850162743918), np.float64(0.03826062931521718), np.float64(0.0036401568894527422))"
5,nearest_neighbors,lobpcg,0.06446336644959792,1.648928188219622,0.015520575744563314,"(np.float64(0.050802751420827), np.float64(0.010675866772410832), np.float64(0.01764396864405485))"
5,rbf_gamma0.1,lobpcg,0.26648779283314095,1.417997345440607,0.012218387514916256,"(np.float64(0.13193643866676885), np.float64(0.02076191466120198), np.float64(0.035877964897485196))"
5,rbf_gamma1,lobpcg,0.24436316245855957,1.4399799774944104,-0.007500229117816684,"(np.float64(0.09583670777781697), np.float64(0.019055056516384703), np.float64(0.03178946540283411))"
